Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%)
JOB_814,2024-01-01 13:33:00,2024-01-01 13:33:00,83.67,7158,3379,7.46,983,Enterprise DB,222,970.7,Medium,ASB-Dynamic-CapsNet,Dynamic,0.46
JOB_815,2024-01-01 13:34:00,2024-01-01 13:34:00,79.59,2761,3084,6.33,395,Cloud,936,569.99,Low,ASB-Dynamic-CapsNet,Dynamic,0.45
JOB_816,2024-01-01 13:35:00,2024-01-01 13:35:00,51.51,4669,2278,2.46,94,Social Media,1467,139.67,Medium,Round Robin,Static,4.04
JOB_817,2024-01-01 13:36:00,2024-01-01 13:36:00,57.3,4134,3907,1.88,717,Social Media,3582,412.03,Medium,Priority-Based,Static,1.18
JOB_818,2024-01-01 13:37:00,2024-01-01 13:37:00,41.92,6198,707,1.65,325,Enterprise DB,4418,336.04,High,Priority-Based,Dynamic,0.3
JOB_819,2024-01-01 13:38:00,2024-01-01 13:38:00,14.38,1008,734,6.46,252,Social Media,3479,221.95,High,Priority-Based,Dynamic,2.36
JOB_820,2024-01-01 13:39:00,2024-01-01 13:39:00,36.82,2879,4679,0.5,478,IoT,1459,934.11,Medium,FCFS,Dynamic,1.57
JOB_821,2024-01-01 13:40:00,2024-01-01 13:40:00,74.23,3664,2827,0.67,889,Social Media,2973,882.11,Medium,FCFS,Static,2.94
JOB_822,2024-01-01 13:41:00,2024-01-01 13:41:00,10.37,1187,1174,4.2,351,IoT,1960,207.16,Medium,Round Robin,Static,3.0
JOB_823,2024-01-01 13:42:00,2024-01-01 13:42:00,36.68,5252,2014,7.07,186,Social Media,310,358.63,High,Priority-Based,Static,3.41
JOB_824,2024-01-01 13:43:00,2024-01-01 13:43:00,41.85,6138,688,7.1,139,Enterprise DB,3402,764.69,High,FCFS,Static,2.88
JOB_825,2024-01-01 13:44:00,2024-01-01 13:44:00,52.99,1792,3331,4.59,666,Enterprise DB,1402,216.42,Low,Priority-Based,Static,1.9
JOB_826,2024-01-01 13:45:00,2024-01-01 13:45:00,83.59,5995,2404,7.07,92,Cloud,1549,595.65,Low,Priority-Based,Static,0.12
JOB_827,2024-01-01 13:46:00,2024-01-01 13:46:00,37.71,4405,3938,5.45,369,IoT,4423,702.8,Low,FCFS,Dynamic,4.53
JOB_828,2024-01-01 13:47:00,2024-01-01 13:47:00,37.76,3575,2073,9.78,97,IoT,2190,657.43,Low,Priority-Based,Static,1.63
JOB_829,2024-01-01 13:48:00,2024-01-01 13:48:00,69.0,3709,2155,2.04,541,Enterprise DB,3056,709.34,High,ASB-Dynamic-CapsNet,Static,2.54
JOB_830,2024-01-01 13:49:00,2024-01-01 13:49:00,46.18,7898,3580,6.21,751,Enterprise DB,3668,709.63,High,Round Robin,Dynamic,2.78
JOB_831,2024-01-01 13:50:00,2024-01-01 13:50:00,27.97,7243,2179,5.17,981,Enterprise DB,872,965.16,Medium,FCFS,Dynamic,1.57
JOB_832,2024-01-01 13:51:00,2024-01-01 13:51:00,46.2,6148,3152,2.35,994,IoT,581,353.03,Low,FCFS,Dynamic,1.54
JOB_833,2024-01-01 13:52:00,2024-01-01 13:52:00,21.27,5671,4582,7.62,647,Cloud,2870,879.8,Medium,Priority-Based,Dynamic,1.3
JOB_834,2024-01-01 13:53:00,2024-01-01 13:53:00,24.11,824,1351,3.12,480,IoT,216,31.59,Medium,FCFS,Dynamic,1.22
JOB_835,2024-01-01 13:54:00,2024-01-01 13:54:00,49.87,5587,3895,4.13,507,Enterprise DB,4976,295.32,High,ASB-Dynamic-CapsNet,Dynamic,0.15
JOB_836,2024-01-01 13:55:00,2024-01-01 13:55:00,43.51,2493,3922,4.06,516,Cloud,4381,58.17,Medium,Priority-Based,Dynamic,4.79
JOB_837,2024-01-01 13:56:00,2024-01-01 13:56:00,83.19,4476,4402,2.82,363,Social Media,1105,654.69,Medium,ASB-Dynamic-CapsNet,Dynamic,2.98
JOB_838,2024-01-01 13:57:00,2024-01-01 13:57:00,38.99,5312,3489,4.59,425,Social Media,1304,109.78,High,Round Robin,Dynamic,0.54
JOB_839,2024-01-01 13:58:00,2024-01-01 13:58:00,56.45,3270,1880,5.0,60,Enterprise DB,4336,847.25,High,Round Robin,Static,2.96
JOB_840,2024-01-01 13:59:00,2024-01-01 13:59:00,60.58,4872,2704,7.57,609,Cloud,4057,650.13,High,ASB-Dynamic-CapsNet,Static,1.16
JOB_841,2024-01-01 14:00:00,2024-01-01 14:00:00,11.05,3083,3788,7.77,691,Enterprise DB,4758,38.53,High,Priority-Based,Static,1.55
JOB_842,2024-01-01 14:01:00,2024-01-01 14:01:00,63.08,4057,4988,2.01,72,IoT,1581,717.63,Low,Round Robin,Dynamic,4.01
JOB_843,2024-01-01 14:02:00,2024-01-01 14:02:00,24.24,4087,1824,6.13,98,IoT,3578,863.41,Low,Priority-Based,Static,4.43
JOB_844,2024-01-01 14:03:00,2024-01-01 14:03:00,86.89,651,2884,9.01,710,Cloud,4092,664.51,Low,Priority-Based,Dynamic,3.5
JOB_845,2024-01-01 14:04:00,2024-01-01 14:04:00,21.89,1454,3819,1.53,199,Enterprise DB,1022,40.22,Medium,Round Robin,Dynamic,4.66
JOB_846,2024-01-01 14:05:00,2024-01-01 14:05:00,43.17,6102,1777,4.99,908,Enterprise DB,3874,859.34,Low,Round Robin,Dynamic,4.53
JOB_847,2024-01-01 14:06:00,2024-01-01 14:06:00,16.83,4854,548,7.63,610,Social Media,4794,735.14,High,ASB-Dynamic-CapsNet,Dynamic,2.76
JOB_848,2024-01-01 14:07:00,2024-01-01 14:07:00,89.75,2871,4787,6.31,357,Cloud,155,384.67,Low,Priority-Based,Static,4.54
JOB_849,2024-01-01 14:08:00,2024-01-01 14:08:00,50.18,7660,181,1.46,853,Enterprise DB,1654,335.34,High,ASB-Dynamic-CapsNet,Static,2.72
JOB_850,2024-01-01 14:09:00,2024-01-01 14:09:00,57.63,5464,1506,4.27,547,IoT,3823,485.02,Low,FCFS,Dynamic,0.52
JOB_851,2024-01-01 14:10:00,2024-01-01 14:10:00,15.37,1691,1580,5.32,185,Enterprise DB,4337,868.43,Low,FCFS,Static,4.15
JOB_852,2024-01-01 14:11:00,2024-01-01 14:11:00,70.0,1187,1179,9.96,373,Enterprise DB,1052,259.54,High,FCFS,Static,0.66
JOB_853,2024-01-01 14:12:00,2024-01-01 14:12:00,26.79,809,3698,2.2,785,IoT,4780,109.95,High,FCFS,Dynamic,1.58
JOB_854,2024-01-01 14:13:00,2024-01-01 14:13:00,81.84,7446,4614,9.83,910,IoT,134,865.99,Medium,Round Robin,Static,1.9
JOB_855,2024-01-01 14:14:00,2024-01-01 14:14:00,26.41,2002,4283,4.07,916,Enterprise DB,3045,36.03,Medium,Round Robin,Static,4.04
JOB_856,2024-01-01 14:15:00,2024-01-01 14:15:00,25.26,3627,3780,2.4,563,IoT,4873,911.89,Medium,ASB-Dynamic-CapsNet,Static,0.42
JOB_857,2024-01-01 14:16:00,2024-01-01 14:16:00,12.92,7263,2803,4.43,492,Social Media,3337,312.69,Low,Round Robin,Dynamic,2.22
JOB_858,2024-01-01 14:17:00,2024-01-01 14:17:00,47.77,5068,4410,6.33,996,Social Media,4215,513.14,Low,Round Robin,Static,2.18
JOB_859,2024-01-01 14:18:00,2024-01-01 14:18:00,55.19,3867,3856,2.53,128,Social Media,203,140.97,High,Round Robin,Static,2.91
JOB_860,2024-01-01 14:19:00,2024-01-01 14:19:00,15.26,7104,1858,3.27,178,IoT,1511,903.23,High,FCFS,Dynamic,1.77
JOB_861,2024-01-01 14:20:00,2024-01-01 14:20:00,72.04,3895,2699,8.62,629,IoT,2862,752.34,Medium,ASB-Dynamic-CapsNet,Static,2.89
JOB_862,2024-01-01 14:21:00,2024-01-01 14:21:00,46.26,1313,2650,9.99,156,IoT,2069,924.91,High,Priority-Based,Static,4.93
JOB_863,2024-01-01 14:22:00,2024-01-01 14:22:00,51.95,1345,3953,3.52,697,Cloud,1147,686.4,Low,Priority-Based,Dynamic,0.36
JOB_864,2024-01-01 14:23:00,2024-01-01 14:23:00,45.26,1664,2846,1.91,446,IoT,620,192.85,High,Priority-Based,Dynamic,4.37
JOB_865,2024-01-01 14:24:00,2024-01-01 14:24:00,42.06,5262,2392,8.04,448,Social Media,198,315.18,High,FCFS,Static,1.54
JOB_866,2024-01-01 14:25:00,2024-01-01 14:25:00,54.77,6905,1601,6.2,897,Social Media,3627,491.98,High,Round Robin,Dynamic,2.33
JOB_867,2024-01-01 14:26:00,2024-01-01 14:26:00,22.42,6404,4504,1.45,198,Social Media,2741,611.19,High,Round Robin,Static,3.71
JOB_868,2024-01-01 14:27:00,2024-01-01 14:27:00,24.55,6039,330,9.49,169,Cloud,2159,927.19,High,Priority-Based,Dynamic,4.55
JOB_869,2024-01-01 14:28:00,2024-01-01 14:28:00,78.94,2267,4350,1.24,823,Enterprise DB,1968,390.11,Medium,Priority-Based,Dynamic,0.05
JOB_870,2024-01-01 14:29:00,2024-01-01 14:29:00,85.69,5860,1298,6.44,869,Social Media,4919,706.04,Medium,ASB-Dynamic-CapsNet,Dynamic,3.31
JOB_871,2024-01-01 14:30:00,2024-01-01 14:30:00,39.86,854,214,4.53,941,Cloud,3705,961.4,Low,FCFS,Static,0.35
JOB_872,2024-01-01 14:31:00,2024-01-01 14:31:00,31.66,2372,1513,5.79,411,Enterprise DB,1762,160.85,Medium,Round Robin,Static,2.63
JOB_873,2024-01-01 14:32:00,2024-01-01 14:32:00,61.52,2524,4506,2.53,595,Cloud,2542,864.08,High,Priority-Based,Dynamic,3.75
JOB_874,2024-01-01 14:33:00,2024-01-01 14:33:00,42.7,3317,1092,7.04,873,Cloud,1394,426.5,Medium,Priority-Based,Dynamic,0.85
JOB_875,2024-01-01 14:34:00,2024-01-01 14:34:00,12.03,4332,2447,9.62,27,Enterprise DB,4015,735.1,Low,ASB-Dynamic-CapsNet,Static,3.82
JOB_876,2024-01-01 14:35:00,2024-01-01 14:35:00,22.49,4775,1141,4.86,149,IoT,1156,300.6,Medium,Round Robin,Dynamic,1.55
JOB_877,2024-01-01 14:36:00,2024-01-01 14:36:00,67.28,565,111,5.47,124,IoT,3555,340.64,Low,Round Robin,Dynamic,3.05
JOB_878,2024-01-01 14:37:00,2024-01-01 14:37:00,62.71,5415,3776,2.78,337,Social Media,4162,36.86,Low,ASB-Dynamic-CapsNet,Dynamic,3.29
JOB_879,2024-01-01 14:38:00,2024-01-01 14:38:00,12.17,5967,4925,8.97,234,Enterprise DB,632,971.69,Low,ASB-Dynamic-CapsNet,Static,3.24
JOB_880,2024-01-01 14:39:00,2024-01-01 14:39:00,27.76,4766,3165,9.73,567,Social Media,4400,815.32,High,Round Robin,Static,0.09
JOB_881,2024-01-01 14:40:00,2024-01-01 14:40:00,28.49,4590,2136,7.97,448,Cloud,2740,102.98,Low,ASB-Dynamic-CapsNet,Dynamic,0.76
JOB_882,2024-01-01 14:41:00,2024-01-01 14:41:00,63.75,3021,3146,5.66,559,IoT,4706,999.51,Medium,Priority-Based,Dynamic,4.28
JOB_883,2024-01-01 14:42:00,2024-01-01 14:42:00,11.58,3081,2450,9.59,727,Social Media,2630,608.97,Medium,Round Robin,Static,4.7
JOB_884,2024-01-01 14:43:00,2024-01-01 14:43:00,18.33,1890,640,1.96,395,Social Media,369,855.19,Medium,FCFS,Static,2.82
JOB_885,2024-01-01 14:44:00,2024-01-01 14:44:00,73.99,1630,2960,5.05,530,IoT,4365,75.99,Low,Round Robin,Dynamic,2.98
JOB_886,2024-01-01 14:45:00,2024-01-01 14:45:00,24.28,2986,176,5.61,262,Cloud,4844,395.56,Low,ASB-Dynamic-CapsNet,Dynamic,3.78
JOB_887,2024-01-01 14:46:00,2024-01-01 14:46:00,62.22,1334,3167,5.17,629,Social Media,1487,672.95,High,FCFS,Dynamic,2.03
JOB_888,2024-01-01 14:47:00,2024-01-01 14:47:00,29.05,726,123,8.12,910,Social Media,81,115.37,Low,Priority-Based,Static,1.64
JOB_889,2024-01-01 14:48:00,2024-01-01 14:48:00,17.96,4015,775,6.87,107,Enterprise DB,764,494.01,Medium,Priority-Based,Dynamic,3.84
JOB_890,2024-01-01 14:49:00,2024-01-01 14:49:00,29.45,5037,2494,1.7,796,Enterprise DB,1089,448.25,High,Priority-Based,Static,0.14
JOB_891,2024-01-01 14:50:00,2024-01-01 14:50:00,67.78,2943,4367,3.79,80,IoT,458,223.88,Medium,ASB-Dynamic-CapsNet,Dynamic,4.43
JOB_892,2024-01-01 14:51:00,2024-01-01 14:51:00,78.46,1227,3498,3.72,560,IoT,1177,307.27,High,Round Robin,Dynamic,2.2
JOB_893,2024-01-01 14:52:00,2024-01-01 14:52:00,76.42,6200,2859,5.87,819,Cloud,756,967.45,Low,ASB-Dynamic-CapsNet,Dynamic,2.52
JOB_894,2024-01-01 14:53:00,2024-01-01 14:53:00,41.77,6727,588,3.27,922,Cloud,3889,295.76,High,Round Robin,Static,3.17
JOB_895,2024-01-01 14:54:00,2024-01-01 14:54:00,63.45,4186,1585,1.61,456,Social Media,3073,221.29,Low,ASB-Dynamic-CapsNet,Static,1.37
JOB_896,2024-01-01 14:55:00,2024-01-01 14:55:00,26.4,4122,3759,6.71,99,Enterprise DB,3709,540.85,Low,Priority-Based,Dynamic,2.99
JOB_897,2024-01-01 14:56:00,2024-01-01 14:56:00,33.45,1536,3335,8.58,439,Cloud,832,674.25,Medium,ASB-Dynamic-CapsNet,Dynamic,3.47
JOB_898,2024-01-01 14:57:00,2024-01-01 14:57:00,81.71,2332,2519,9.35,228,Social Media,2229,727.84,Low,Round Robin,Dynamic,0.59
JOB_899,2024-01-01 14:58:00,2024-01-01 14:58:00,11.04,6444,3595,9.74,116,Social Media,1228,756.7,Low,Priority-Based,Static,2.6
JOB_900,2024-01-01 14:59:00,2024-01-01 14:59:00,16.84,3240,856,7.92,485,IoT,2456,46.46,Low,Priority-Based,Dynamic,1.65
JOB_901,2024-01-01 15:00:00,2024-01-01 15:00:00,26.63,992,2624,1.83,925,Enterprise DB,2857,399.82,Medium,FCFS,Dynamic,2.79
JOB_902,2024-01-01 15:01:00,2024-01-01 15:01:00,12.12,7935,4350,8.6,463,Social Media,4310,776.22,Low,Round Robin,Static,0.11
JOB_903,2024-01-01 15:02:00,2024-01-01 15:02:00,24.51,2048,356,4.3,913,IoT,2814,905.8,Medium,FCFS,Static,3.71
JOB_904,2024-01-01 15:03:00,2024-01-01 15:03:00,56.64,1643,1879,7.43,617,Social Media,2774,606.18,High,FCFS,Dynamic,0.84
JOB_905,2024-01-01 15:04:00,2024-01-01 15:04:00,43.71,5565,4869,5.55,924,Enterprise DB,2585,61.78,Medium,FCFS,Static,3.45
JOB_906,2024-01-01 15:05:00,2024-01-01 15:05:00,81.41,6996,2215,8.37,553,Social Media,262,402.68,Medium,Priority-Based,Static,3.84
JOB_907,2024-01-01 15:06:00,2024-01-01 15:06:00,75.4,7724,3448,4.54,135,Social Media,1998,83.48,Low,FCFS,Static,3.76
JOB_908,2024-01-01 15:07:00,2024-01-01 15:07:00,37.35,6683,4868,1.09,156,Cloud,4911,751.05,Medium,Round Robin,Static,4.09
JOB_909,2024-01-01 15:08:00,2024-01-01 15:08:00,30.75,4457,1572,5.79,289,Cloud,3196,72.87,High,Round Robin,Static,1.54
JOB_910,2024-01-01 15:09:00,2024-01-01 15:09:00,40.38,3907,358,2.13,33,IoT,1251,193.87,Medium,FCFS,Static,4.84
JOB_911,2024-01-01 15:10:00,2024-01-01 15:10:00,57.22,1139,4175,9.67,961,Social Media,1869,422.79,Low,FCFS,Static,0.12
JOB_912,2024-01-01 15:11:00,2024-01-01 15:11:00,31.45,672,406,5.51,730,IoT,2939,468.02,High,FCFS,Static,2.41
JOB_913,2024-01-01 15:12:00,2024-01-01 15:12:00,59.93,6166,1218,5.76,129,Enterprise DB,694,412.42,Low,FCFS,Dynamic,1.35
JOB_914,2024-01-01 15:13:00,2024-01-01 15:13:00,42.75,4854,3117,9.12,795,IoT,2409,468.76,Low,FCFS,Dynamic,3.7
JOB_915,2024-01-01 15:14:00,2024-01-01 15:14:00,54.16,4459,4441,6.43,661,Social Media,4272,716.11,Medium,FCFS,Static,4.03
JOB_916,2024-01-01 15:15:00,2024-01-01 15:15:00,44.89,1016,2880,3.38,306,Cloud,4522,375.58,Low,ASB-Dynamic-CapsNet,Static,4.11
JOB_917,2024-01-01 15:16:00,2024-01-01 15:16:00,33.56,7373,1758,3.31,864,Cloud,4370,552.27,High,Priority-Based,Dynamic,1.48
JOB_918,2024-01-01 15:17:00,2024-01-01 15:17:00,85.88,1022,286,5.26,953,IoT,3138,310.34,High,Priority-Based,Dynamic,1.37
JOB_919,2024-01-01 15:18:00,2024-01-01 15:18:00,71.09,2417,1897,8.73,91,Cloud,546,360.09,High,Priority-Based,Dynamic,3.38
JOB_920,2024-01-01 15:19:00,2024-01-01 15:19:00,21.21,3386,1024,8.05,457,Social Media,2066,617.66,High,FCFS,Dynamic,4.64
JOB_921,2024-01-01 15:20:00,2024-01-01 15:20:00,79.48,2664,884,9.65,921,Social Media,522,495.59,Medium,ASB-Dynamic-CapsNet,Dynamic,1.27
JOB_922,2024-01-01 15:21:00,2024-01-01 15:21:00,48.99,6827,3544,1.18,729,Enterprise DB,1938,725.81,High,Priority-Based,Static,4.55
JOB_923,2024-01-01 15:22:00,2024-01-01 15:22:00,81.56,2429,3296,3.05,928,Cloud,3432,564.93,Medium,Round Robin,Static,2.96
JOB_924,2024-01-01 15:23:00,2024-01-01 15:23:00,73.99,4445,1460,1.26,479,Cloud,1210,805.54,Low,Priority-Based,Dynamic,3.69
JOB_925,2024-01-01 15:24:00,2024-01-01 15:24:00,44.02,5735,440,7.64,432,Enterprise DB,2572,448.97,Low,Priority-Based,Static,2.2
JOB_926,2024-01-01 15:25:00,2024-01-01 15:25:00,11.8,2709,662,1.84,554,IoT,4362,496.12,Medium,Priority-Based,Dynamic,4.03
JOB_927,2024-01-01 15:26:00,2024-01-01 15:26:00,31.49,4283,4846,1.45,33,Enterprise DB,245,673.27,Low,Priority-Based,Dynamic,4.85
JOB_928,2024-01-01 15:27:00,2024-01-01 15:27:00,53.33,3090,3099,5.84,70,Cloud,2298,229.03,Low,Round Robin,Static,0.85
JOB_929,2024-01-01 15:28:00,2024-01-01 15:28:00,60.68,7904,1293,4.41,832,IoT,4511,392.07,High,FCFS,Static,1.93
JOB_930,2024-01-01 15:29:00,2024-01-01 15:29:00,30.63,5434,3210,7.29,710,Social Media,2816,628.59,Low,Round Robin,Static,4.31
JOB_931,2024-01-01 15:30:00,2024-01-01 15:30:00,21.15,4576,168,5.13,93,Social Media,1601,38.59,Low,Round Robin,Static,0.88
JOB_932,2024-01-01 15:31:00,2024-01-01 15:31:00,76.79,5685,2528,4.54,234,Enterprise DB,2497,442.6,Medium,FCFS,Dynamic,2.06
JOB_933,2024-01-01 15:32:00,2024-01-01 15:32:00,88.75,1593,3698,4.54,689,Social Media,4359,602.86,High,Round Robin,Static,0.83
JOB_934,2024-01-01 15:33:00,2024-01-01 15:33:00,52.06,4380,2472,8.78,195,Cloud,2438,967.7,Low,Round Robin,Dynamic,3.24
JOB_935,2024-01-01 15:34:00,2024-01-01 15:34:00,23.73,2994,4656,4.25,384,Enterprise DB,3056,878.25,Low,Priority-Based,Static,1.19
JOB_936,2024-01-01 15:35:00,2024-01-01 15:35:00,31.78,7059,943,3.67,81,Cloud,168,287.93,Medium,Priority-Based,Static,1.9
JOB_937,2024-01-01 15:36:00,2024-01-01 15:36:00,11.47,3079,673,3.72,83,Cloud,3546,512.14,Low,FCFS,Dynamic,2.46
JOB_938,2024-01-01 15:37:00,2024-01-01 15:37:00,83.14,2988,4314,2.37,906,IoT,1766,65.85,High,Priority-Based,Dynamic,1.49
JOB_939,2024-01-01 15:38:00,2024-01-01 15:38:00,19.42,3285,2696,8.68,350,IoT,2933,248.35,High,FCFS,Dynamic,3.4
JOB_940,2024-01-01 15:39:00,2024-01-01 15:39:00,56.12,6565,4841,1.89,162,IoT,4987,777.11,High,FCFS,Static,0.56
JOB_941,2024-01-01 15:40:00,2024-01-01 15:40:00,31.92,7107,1578,9.13,105,Social Media,2964,132.08,Medium,ASB-Dynamic-CapsNet,Dynamic,4.4
JOB_942,2024-01-01 15:41:00,2024-01-01 15:41:00,54.33,7039,2173,3.19,574,IoT,1722,265.11,High,FCFS,Static,2.41
JOB_943,2024-01-01 15:42:00,2024-01-01 15:42:00,62.11,3258,1613,9.04,454,Cloud,1252,944.6,High,Round Robin,Dynamic,2.86
JOB_944,2024-01-01 15:43:00,2024-01-01 15:43:00,76.38,2074,1068,8.01,695,Enterprise DB,1505,825.62,High,FCFS,Dynamic,3.11
JOB_945,2024-01-01 15:44:00,2024-01-01 15:44:00,26.51,6176,2296,6.03,119,Enterprise DB,4711,784.01,High,ASB-Dynamic-CapsNet,Static,0.3
JOB_946,2024-01-01 15:45:00,2024-01-01 15:45:00,10.88,7038,1611,6.86,467,Cloud,4028,865.91,High,Round Robin,Static,3.78
JOB_947,2024-01-01 15:46:00,2024-01-01 15:46:00,20.95,2873,754,3.6,837,Social Media,2521,752.11,High,ASB-Dynamic-CapsNet,Dynamic,4.73
JOB_948,2024-01-01 15:47:00,2024-01-01 15:47:00,82.0,4490,3092,5.96,60,Enterprise DB,167,129.38,Medium,Priority-Based,Dynamic,2.6
JOB_949,2024-01-01 15:48:00,2024-01-01 15:48:00,79.91,5710,4750,3.28,386,Cloud,417,521.4,High,Round Robin,Static,1.95
JOB_950,2024-01-01 15:49:00,2024-01-01 15:49:00,57.79,5345,4620,4.32,774,Cloud,3226,449.8,Low,FCFS,Static,3.92
JOB_951,2024-01-01 15:50:00,2024-01-01 15:50:00,58.04,1593,392,7.76,82,Cloud,3424,318.04,Medium,ASB-Dynamic-CapsNet,Dynamic,3.6
JOB_952,2024-01-01 15:51:00,2024-01-01 15:51:00,63.2,1689,2701,2.82,221,Enterprise DB,3862,835.7,Low,FCFS,Dynamic,3.25
JOB_953,2024-01-01 15:52:00,2024-01-01 15:52:00,24.03,3189,4626,8.47,441,Enterprise DB,2247,469.5,Low,Priority-Based,Static,4.83
JOB_954,2024-01-01 15:53:00,2024-01-01 15:53:00,83.15,4595,4512,4.07,733,IoT,4961,69.69,High,Round Robin,Dynamic,2.91
JOB_955,2024-01-01 15:54:00,2024-01-01 15:54:00,43.5,6857,4593,5.56,772,IoT,2179,282.22,Low,FCFS,Dynamic,1.24
JOB_956,2024-01-01 15:55:00,2024-01-01 15:55:00,40.65,2375,1688,9.45,177,Cloud,950,236.33,Low,Priority-Based,Static,0.12
JOB_957,2024-01-01 15:56:00,2024-01-01 15:56:00,51.51,3906,695,6.97,784,Cloud,242,888.6,Low,FCFS,Dynamic,2.27
JOB_958,2024-01-01 15:57:00,2024-01-01 15:57:00,13.76,2287,2693,6.63,340,Cloud,2820,650.96,High,Round Robin,Static,3.26
JOB_959,2024-01-01 15:58:00,2024-01-01 15:58:00,23.3,7012,2223,7.26,990,Cloud,3398,564.77,High,Priority-Based,Static,0.86
JOB_960,2024-01-01 15:59:00,2024-01-01 15:59:00,69.04,4432,2043,9.22,751,Enterprise DB,1000,511.58,High,Priority-Based,Dynamic,0.13
JOB_961,2024-01-01 16:00:00,2024-01-01 16:00:00,16.62,2107,1015,2.86,760,IoT,3656,653.61,Medium,ASB-Dynamic-CapsNet,Static,4.55
JOB_962,2024-01-01 16:01:00,2024-01-01 16:01:00,58.25,4248,3969,6.33,796,Social Media,307,757.33,High,Round Robin,Static,1.51
JOB_963,2024-01-01 16:02:00,2024-01-01 16:02:00,29.63,548,2894,4.3,503,Cloud,1271,558.84,High,Priority-Based,Static,2.33
JOB_964,2024-01-01 16:03:00,2024-01-01 16:03:00,41.14,5671,3178,0.61,152,IoT,700,938.9,Low,Round Robin,Dynamic,0.46
JOB_965,2024-01-01 16:04:00,2024-01-01 16:04:00,33.1,5908,1075,1.69,591,Cloud,2368,977.07,High,FCFS,Dynamic,1.91
JOB_966,2024-01-01 16:05:00,2024-01-01 16:05:00,38.45,4361,1175,3.59,454,Enterprise DB,4541,995.39,Low,Round Robin,Dynamic,2.12
JOB_967,2024-01-01 16:06:00,2024-01-01 16:06:00,67.52,6245,3089,5.87,833,Social Media,2475,672.7,High,ASB-Dynamic-CapsNet,Static,4.51
JOB_968,2024-01-01 16:07:00,2024-01-01 16:07:00,33.77,7906,3567,8.87,403,IoT,972,933.29,High,Round Robin,Static,4.33
JOB_969,2024-01-01 16:08:00,2024-01-01 16:08:00,55.31,2680,1551,8.02,521,IoT,3209,410.43,High,Round Robin,Dynamic,0.95
JOB_970,2024-01-01 16:09:00,2024-01-01 16:09:00,48.08,3546,3923,5.76,695,Social Media,447,861.0,High,FCFS,Dynamic,2.78
JOB_971,2024-01-01 16:10:00,2024-01-01 16:10:00,63.09,3333,4032,1.2,857,Enterprise DB,2964,910.08,High,ASB-Dynamic-CapsNet,Static,3.66
JOB_972,2024-01-01 16:11:00,2024-01-01 16:11:00,84.95,5785,2128,3.22,630,Social Media,610,905.1,High,FCFS,Dynamic,1.46
JOB_973,2024-01-01 16:12:00,2024-01-01 16:12:00,68.61,1897,462,3.98,724,IoT,239,832.54,High,Priority-Based,Static,1.97
JOB_974,2024-01-01 16:13:00,2024-01-01 16:13:00,27.2,7016,2529,6.41,706,Social Media,254,412.53,Low,FCFS,Dynamic,4.92
JOB_975,2024-01-01 16:14:00,2024-01-01 16:14:00,12.49,6424,3732,1.12,812,Enterprise DB,3065,167.32,Medium,ASB-Dynamic-CapsNet,Dynamic,3.8
JOB_976,2024-01-01 16:15:00,2024-01-01 16:15:00,30.98,4326,2418,5.54,337,Enterprise DB,4189,340.62,Medium,ASB-Dynamic-CapsNet,Dynamic,2.19
JOB_977,2024-01-01 16:16:00,2024-01-01 16:16:00,57.61,5074,3185,9.06,613,Cloud,3421,769.62,High,Round Robin,Dynamic,2.67
JOB_978,2024-01-01 16:17:00,2024-01-01 16:17:00,14.11,1331,2445,7.2,268,Social Media,3091,240.56,Medium,ASB-Dynamic-CapsNet,Static,3.13
JOB_979,2024-01-01 16:18:00,2024-01-01 16:18:00,49.71,3197,3698,8.07,843,Social Media,1755,483.49,Low,FCFS,Dynamic,2.49
JOB_980,2024-01-01 16:19:00,2024-01-01 16:19:00,57.75,6210,4429,6.98,446,IoT,762,569.75,Low,ASB-Dynamic-CapsNet,Static,2.06
JOB_981,2024-01-01 16:20:00,2024-01-01 16:20:00,36.74,5277,1831,2.46,727,Enterprise DB,3506,607.82,Low,Priority-Based,Static,1.8
JOB_982,2024-01-01 16:21:00,2024-01-01 16:21:00,71.67,3235,126,1.55,573,Social Media,2734,936.37,Medium,ASB-Dynamic-CapsNet,Dynamic,0.84
JOB_983,2024-01-01 16:22:00,2024-01-01 16:22:00,18.53,5919,192,8.38,358,IoT,4456,664.88,Medium,ASB-Dynamic-CapsNet,Static,4.87
JOB_984,2024-01-01 16:23:00,2024-01-01 16:23:00,16.01,581,2764,7.11,702,Cloud,3649,788.44,Medium,FCFS,Static,0.46
JOB_985,2024-01-01 16:24:00,2024-01-01 16:24:00,68.26,586,408,5.96,959,Social Media,2371,586.06,High,Round Robin,Dynamic,3.01
JOB_986,2024-01-01 16:25:00,2024-01-01 16:25:00,49.64,6868,151,2.3,824,Social Media,3927,835.24,Low,Round Robin,Dynamic,4.8
JOB_987,2024-01-01 16:26:00,2024-01-01 16:26:00,65.07,2563,418,6.23,524,IoT,3572,271.03,Low,FCFS,Dynamic,1.87
